monday;Boráros tér;8:58;8:59;9:42;9:48;9:54;10:00;10:06;10:12;10:18;10:24;10:30;10:36;10:42;10:48;10:54;11:00;11:06;11:12;11:18;11:24;11:30;11:36;11:42;11:48;11:54;12:00
tuesday;Boráros tér;8:58;8:59;9:42;9:48;9:54;10:00;10:06;10:12;10:18;10:24;10:30;10:36;10:42;10:48;10:54;11:00;11:06;11:12;11:18;11:24;11:30;11:36;11:42;11:48;11:54;12:00
wednesday;Boráros tér;8:58;8:59;9:42;9:48;9:54;10:00;10:06;10:12;10:18;10:24;10:30;10:36;10:42;10:48;10:54;11:00;11:06;11:12;11:18;11:24;11:30;11:36;11:42;11:48;11:54;12:00
thursday;Boráros tér;8:58;8:59;9:42;9:48;9:54;10:00;10:06;10:12;10:18;10:24;10:30;10:36;10:42;10:48;10:54;11:00;11:06;11:12;11:18;11:24;11:30;11:36;11:42;11:48;11:54;12:00
friday;Boráros tér;8:58;8:59;9:42;9:48;9:54;10:00;10:06;10:12;10:18;10:24;10:30;10:36;10:42;10:48;10:54;11:00;11:06;11:12;11:18;11:24;11:30;11:36;11:42;11:48;11:54;12:00
monday;Mester utca;9:01;9:02;9:45;9:51;9:57;10:03;10:09;10:15;10:21;10:27;10:33;10:39;10:45;10:51;10:57;11:03;11:09;11:15;11:21;11:27;11:33;11:39;11:45;11:51;11:57;12:03
tuesday;Mester utca;9:01;9:02;9:45;9:51;9:57;10:03;10:09;10:15;10:21;10:27;10:33;10:39;10:45;10:51;10:57;11:03;11:09;11:15;11:21;11:27;11:33;11:39;11:45;11:51;11:57;12:03
wednesday;Mester utca;9:01;9:02;9:45;9:51;9:57;10:03;10:09;10:15;10:21;10:27;10:33;10:39;10:45;10:51;10:57;11:03;11:09;11:15;11:21;11:27;11:33;11:39;11:45;11:51;11:57;12:03
thursday;Mester utca;9:01;9:02;9:45;9:51;9:57;10:03;10:09;10:15;10:21;10:27;10:33;10:39;10:45;10:51;10:57;11:03;11:09;11:15;11:21;11:27;11:33;11:39;11:45;11:51;11:57;12:03
friday;Mester utca;9:01;9:02;9:45;9:51;9:57;10:03;10:09;10:15;10:21;10:27;10:33;10:39;10:45;10:51;10:57;11:03;11:09;11:15;11:21;11:27;11:33;11:39;11:45;11:51;11:57;12:03
monday;Corvin negyed;9:00;9:01;9:44;9:50;9:56;10:02;10:08;10:14;10:20;10:26;10:32;10:38;10:44;10:50;10:56;11:02;11:08;11:14;11:20;11:26;11:32;11:38;11:44;11:50;11:56;12:02
tuesday;Corvin negyed;9:00;9:01;9:44;9:50;9:56;10:02;10:08;10:14;10:20;10:26;10:32;10:38;10:44;10:50;10:56;11:02;11:08;11:14;11:20;11:26;11:32;11:38;11:44;11:50;11:56;12:02
wednesday;Corvin negyed;9:00;9:01;9:44;9:50;9:56;10:02;10:08;10:14;10:20;10:26;10:32;10:38;10:44;10:50;10:56;11:02;11:08;11:14;11:20;11:26;11:32;11:38;11:44;11:50;11:56;12:02
thursday;Corvin negyed;9:00;9:01;9:44;9:50;9:56;10:02;10:08;10:14;10:20;10:26;10:32;10:38;10:44;10:50;10:56;11:02;11:08;11:14;11:20;11:26;11:32;11:38;11:44;11:50;11:56;12:02
friday;Corvin negyed;9:00;9:01;9:44;9:50;9:56;10:02;10:08;10:14;10:20;10:26;10:32;10:38;10:44;10:50;10:56;11:02;11:08;11:14;11:20;11:26;11:32;11:38;11:44;11:50;11:56;12:02
sunday;Boráros tér;9:00;9:05;9:10;9:15;9:20;9:25;9:30;9:35;9:40;9:45;9:50;9:55;10:00;10:05;10:10;10:15;10:20;10:25;10:30;10:35;10:40;10:45;10:50;10:55;11:00;11:05;11:10;11:15;11:20;11:25;11:30;11:35;11:40;11:45;11:50;11:55;12:00
sunday;Mester utca;9:03;9:08;9:13;9:18;9:23;9:28;9:33;9:38;9:43;9:48;9:53;9:58;10:03;10:08;10:13;10:18;10:23;10:28;10:33;10:38;10:43;10:48;10:53;10:58;11:03;11:08;11:13;11:18;11:23;11:28;11:33;11:38;11:43;11:48;11:53;11:58;12:03
sunday;Corvin negyed;9:02;9:07;9:12;9:17;9:22;9:27;9:32;9:37;9:42;9:47;9:52;9:57;10:02;10:07;10:12;10:17;10:22;10:27;10:32;10:37;10:42;10:47;10:52;10:57;11:02;11:07;11:12;11:17;11:22;11:27;11:32;11:37;11:42;11:47;11:52;11:57;12:02
